ENTDATESERVICETYPE,ENTDATEDAYOFWEEK,ENTSTATION,EXTSTATION,ENTPERIOD,ENTQUARTHOUR,AVG_TRIPS
Saturday,Sat,Navy Yard,Dupont Circle,PM Peak,4:00 PM to 4:15 PM,2
Weekday,Thu,Huntington,Gallery Place-Chinatown,AM Peak,5:30 AM to 5:45 AM,5
Weekday,Thu,Shady Grove,Judiciary Square,AM Peak,9:00 AM to 9:15 AM,11
Weekday,Thu,Foggy Bottom,Van Dorn Street,PM Peak,5:45 PM to 6:00 PM,10
Weekday,Thu,L'Enfant Plaza,West Hyattsville,PM Peak,5:30 PM to 5:45 PM,12
Weekday,Thu,Federal Center SW,Vienna,PM Peak,5:30 PM to 5:45 PM,12
Weekday,Thu,Capitol Heights,U Street-Cardozo,AM Peak,6:30 AM to 6:45 AM,1
Weekday,Thu,West Falls Church,McPherson Square,Midday,11:30 AM to 11:45 AM,1
Weekday,Thu,Union Station,L'Enfant Plaza,Midday,9:45 AM to 10:00 AM,7
Weekday,Thu,Archives-Navy Memorial,Reagan Washington National Airport,PM Peak,3:15 PM to 3:30 PM,5
Weekday,Thu,Metro Center,Forest Glen,Evening,7:45 PM to 8:00 PM,3
Weekday,Thu,Gallery Place-Chinatown,Bethesda,Evening,11:15 PM to 11:30 PM,2
Weekday,Thu,McPherson Square,Farragut West,PM Peak,4:00 PM to 4:15 PM,2
Weekday,Thu,Gallery Place-Chinatown,Reagan Washington National Airport,Midday,12:45 PM to 1:00 PM,5
Weekday,Thu,Dunn Loring,Crystal City,AM Peak,6:00 AM to 6:15 AM,3
Weekday,Thu,L'Enfant Plaza,Wheaton,Midday,1:00 PM to 1:15 PM,1
Weekday,Thu,Bethesda,Woodley Park-Zoo,Evening,11:00 PM to 11:15 PM,2
Sunday,Sun,Southern Avenue,Silver Spring,PM Peak,4:45 PM to 5:00 PM,2
Weekday,Fri,Rosslyn,Federal Triangle,AM Peak,7:45 AM to 8:00 AM,11
Weekday,Thu,Columbia Heights,Wheaton,AM Peak,8:45 AM to 9:00 AM,2
Weekday,Thu,Friendship Heights,Vienna,PM Peak,3:30 PM to 3:45 PM,1
Weekday,Thu,Capitol Heights,McPherson Square,AM Peak,8:00 AM to 8:15 AM,6
Weekday,Thu,Navy Yard,Spring Hill,PM Peak,4:30 PM to 4:45 PM,2
Weekday,Thu,Dupont Circle,Franconia-Springfield,Midday,12:15 PM to 12:30 PM,1
Weekday,Thu,Farragut North,L'Enfant Plaza,AM Peak,7:15 AM to 7:30 AM,1
Weekday,Thu,Takoma,Columbia Heights,PM Peak,5:30 PM to 5:45 PM,2
